Date,Open,High,Low,Close,Adj Close,Volume
2012-06-20,30.900000,31.750000,30.600000,31.549999,23.679430,9931
2012-06-21,31.900000,31.900000,30.850000,31.150000,23.379213,4289
2012-06-22,31.400000,31.400000,30.650000,31.250000,23.454271,2756
2012-06-25,31.850000,31.850000,31.100000,31.299999,23.491796,3921
2012-06-26,31.750000,32.250000,31.500000,31.850000,23.904593,5063
2012-06-27,31.049999,32.000000,31.000000,31.799999,23.867065,5622
2012-06-28,31.700001,32.000000,30.799999,31.049999,23.304159,23579
2012-06-29,31.799999,32.250000,31.049999,31.700001,23.792013,13023
2012-07-02,32.000000,33.200001,31.400000,33.000000,24.767710,18443
2012-07-03,33.349998,33.349998,32.549999,32.950001,24.730185,13237
2012-07-04,33.049999,33.299999,32.650002,33.000000,24.767710,13279
