date,headline_text,open,high,low,close,adj close,volume
2020-05-08,HCL outperforms peers; grows 16.7% in last fiscal,28.6,30.700001,28.25,28.75,28.52644,16651.0
2020-05-11,IT firms added 28% less staff in last fiscal,28.700001,29.75,28.0,28.35,28.129551,5079.0
2020-05-12,Hiring platforms go all out to help the laid off find new jobs,29.5,29.5,27.700001,28.4,28.179161,5040.0
2020-05-13,State govt orders to dilute labour laws must pass scrutiny of state Legislatures; Courts; House panel chief B Mahtab says,29.35,29.799999,28.75,29.5,29.270607,12896.0
2020-05-14,Mixed feeling in K'taka industries,29.299999,30.0,29.0,29.6,29.369829,6283.0
2020-05-15,Sensex dives 886 pts as stimulus disappoints,29.25,29.6,28.4,28.549999,28.327993,21158.0
2020-05-18,lockdown 4 0 centre lists parameters for states to delineate red orange green zones,28.549999,28.950001,27.15,27.299999,27.087713,12837.0
2020-05-19,RBI's Rs 30;000 crore switch gets low response,28.6,28.65,26.799999,27.1,26.889271,13210.0
2020-05-20,Wearables; AI help monitor temperatures during Covid,27.0,27.700001,26.950001,27.6,27.385382,11438.0
2020-05-21,East-West Seed takes e-tail route to reach farmers,27.049999,28.4,27.049999,27.799999,27.583826,9161.0
2020-05-22,Banks and NBFCs turn off automobile loan tap as they revise credit worthiness norms,28.450001,28.9,27.25,28.4,28.179161,11184.0
2020-05-26,Cos look within for new woman leaders,29.4,29.4,27.65,28.450001,28.228773,11332.0
2020-05-27,Rising freight will puncture corporate margins,28.200001,28.9,27.85,28.6,28.377605,7920.0
